"","state","county","tract","Total_2000","White_2000","Black_2000","Indian_2000","Other_Race_2000","Asian_or_Pacific_Islander_2000"
"408","04","013","116719",6842,5510,391,90,429,422
"409","04","013","116720",3719,3102,167,26,237,187
"410","04","013","116721",3987,3423,105,3,242,214
"411","04","013","116725",4441,3994,42,93,216,96
"412","04","013","116726",2908,2512,161,7,117,111
"413","04","013","116727",3692,3150,94,6,136,306
"414","04","013","116728",4345,3828,121,0,214,182
"415","04","013","116729",4927,4523,129,21,72,182
"416","04","013","216802",6110,5663,114,48,168,117
"417","04","013","216806",3087,2952,18,8,37,72
"418","04","013","216807",5353,5027,46,42,34,204
"419","04","013","216809",4456,4165,26,8,185,72
"420","04","013","216810",1398,1353,0,0,12,33
"421","04","013","216811",7152,6831,41,58,54,168
"422","04","013","216812",4846,4637,50,52,83,24
"423","04","013","216813",4137,3907,30,9,54,137
"424","04","013","216814",9122,8518,107,82,278,137
"425","04","013","216815",9355,8773,27,41,56,458
"426","04","013","216816",5733,5425,33,12,112,151
"427","04","013","216817",0,0,0,0,0,0
"428","04","013","216818",5976,5624,63,84,184,21
"429","04","013","216819",5592,5343,26,21,133,69
"430","04","013","216820",4116,3927,48,36,85,20
"431","04","013","216821",4541,4306,35,20,92,88
"432","04","013","216822",2568,2454,20,0,94,0
"433","04","013","216823",6419,6114,28,0,129,148
"434","04","013","216824",5523,5137,78,15,155,138
"435","04","013","216825",14658,13747,127,38,351,395
"436","04","013","216826",5117,4833,32,23,109,120
"437","04","013","216827",10969,10155,143,8,283,380
"438","04","013","216828",7731,7446,105,0,66,114
"439","04","013","216829",2321,2237,19,7,15,43
"440","04","013","216901",2831,2722,24,18,35,32
"441","04","013","216902",4030,3862,41,9,89,29
"442","04","013","217001",4287,4048,14,64,154,7
"443","04","013","217002",5708,5328,10,15,241,114
"444","04","013","217101",2827,2462,7,25,262,71
"445","04","013","217102",2801,2557,61,14,130,39
"446","04","013","217201",836,790,0,0,36,10
"447","04","013","217202",6889,6126,80,14,429,240
"448","04","013","217300",2445,2311,38,0,59,37
"449","04","013","217400",3398,3145,22,53,140,38
"450","04","013","217500",6827,5318,184,81,1155,89
"451","04","013","217600",4673,4093,98,116,225,141
"452","04","013","217700",5222,4869,7,20,270,56
"453","04","013","217800",6293,5623,101,32,383,154
"454","04","013","217900",3833,3430,51,11,242,99
"455","04","013","218000",5614,4622,123,66,701,102
"456","04","013","218100",2002,1674,48,19,196,65
"457","04","013","218200",5825,4607,122,204,836,56
"458","04","013","218300",4694,4201,181,0,255,57
"459","04","013","318400",4446,3346,126,97,761,116
"460","04","013","318501",3289,2891,29,11,217,141
"461","04","013","318502",2138,1774,30,6,296,32
"462","04","013","318600",0,0,0,0,0,0
"463","04","013","318700",2739,2313,113,16,151,146
"464","04","013","318800",6239,4209,307,205,1177,341
"465","04","013","318900",6753,5345,224,204,813,167
