"","STATE10","COUNTY10","TRACT10","GEOID10"
"433",4,13,617500,4013617500
"434",4,13,617600,4013617600
"435",4,13,617700,4013617700
"436",4,13,617800,4013617800
"437",4,13,617900,4013617900
"438",4,13,618000,4013618000
"439",4,13,618100,4013618100
"440",4,13,618200,4013618200
"441",4,13,618300,4013618300
"442",4,13,618400,4013618400
"443",4,13,618500,4013618500
"444",4,13,618600,4013618600
"445",4,13,618700,4013618700
"446",4,13,618800,4013618800
"447",4,13,618900,4013618900
"448",4,13,619000,4013619000
"449",4,13,619100,4013619100
"450",4,13,619200,4013619200
"451",4,13,619300,4013619300
"452",4,13,619400,4013619400
"453",4,13,619500,4013619500
"454",4,13,619600,4013619600
"455",4,13,619700,4013619700
"456",4,13,619800,4013619800
"457",4,13,619900,4013619900
"458",4,13,723303,4013723303
"459",4,13,723304,4013723304
"460",4,13,723305,4013723305
"461",4,13,723306,4013723306
"462",4,13,723307,4013723307
"463",4,13,723308,4013723308
"464",4,13,810000,4013810000
"465",4,13,810100,4013810100
"466",4,13,810200,4013810200
"467",4,13,810300,4013810300
"468",4,13,810400,4013810400
"469",4,13,810500,4013810500
"470",4,13,810600,4013810600
"471",4,13,810700,4013810700
"472",4,13,810800,4013810800
"473",4,13,810900,4013810900
"474",4,13,811000,4013811000
"475",4,13,811100,4013811100
"476",4,13,811200,4013811200
"477",4,13,811300,4013811300
"478",4,13,811400,4013811400
"479",4,13,811500,4013811500
"480",4,13,811600,4013811600
"481",4,13,811700,4013811700
"482",4,13,811800,4013811800
"483",4,13,811900,4013811900
"484",4,13,812000,4013812000
"485",4,13,812100,4013812100
"486",4,13,812200,4013812200
"487",4,13,812300,4013812300
"488",4,13,812400,4013812400
"489",4,13,812500,4013812500
"490",4,13,812600,4013812600
"491",4,13,812700,4013812700
"492",4,13,812800,4013812800
"493",4,13,812900,4013812900
"494",4,13,813000,4013813000
"495",4,13,813100,4013813100
"496",4,13,813200,4013813200
"497",4,13,813300,4013813300
"498",4,13,813400,4013813400
"499",4,13,813500,4013813500
"500",4,13,813600,4013813600
"501",4,13,813700,4013813700
"502",4,13,813800,4013813800
"503",4,13,813900,4013813900
"504",4,13,814000,4013814000
"505",4,13,814100,4013814100
"506",4,13,814200,4013814200
"507",4,13,814300,4013814300
"508",4,13,814400,4013814400
"509",4,13,814500,4013814500
"510",4,13,814600,4013814600
"511",4,13,814700,4013814700
"512",4,13,814800,4013814800
"513",4,13,814900,4013814900
"514",4,13,815000,4013815000
"515",4,13,815100,4013815100
"516",4,13,815200,4013815200
"517",4,13,815300,4013815300
"518",4,13,815400,4013815400
"519",4,13,815500,4013815500
"520",4,13,815600,4013815600
"521",4,13,815700,4013815700
"522",4,13,815800,4013815800
"523",4,13,815900,4013815900
"524",4,13,816000,4013816000
"525",4,13,816100,4013816100
"526",4,13,816200,4013816200
"527",4,13,816300,4013816300
"528",4,13,816400,4013816400
"529",4,13,816500,4013816500
"530",4,13,816600,4013816600
"531",4,13,816700,4013816700
"532",4,13,816800,4013816800
"533",4,13,816900,4013816900
"534",4,13,817000,4013817000
"535",4,13,817100,4013817100
"536",4,13,817200,4013817200
