"","geoid","tract.fips","tract.fips20","part.flag","part.flag20","pct.1990","pct.2000","state.fips","state.fips20","county.fips","county.fips20"
"330","0401307150804013071506","071508","071506","P","P",0,0,"04","04","013","013"
"331","0401307150704013071507","071507","071507"," "," ",100,100,"04","04","013","013"
"332","0401307150604013071508","071506","071508","P","P",0,0,"04","04","013","013"
"333","0401307150804013071508","071508","071508","P","P",100,100,"04","04","013","013"
"334","0401307150904013071508","071509","071508","P","P",0,0,"04","04","013","013"
"335","0401307150904013071509","071509","071509","P"," ",50.1,100,"04","04","013","013"
"336","0401307151004013071510","071510","071510","P"," ",42.4,100,"04","04","013","013"
"337","0401307150904013071511","071509","071511","P"," ",31.9,100,"04","04","013","013"
"338","0401307151004013071512","071510","071512","P"," ",57.6,100,"04","04","013","013"
"339","0401307150904013071513","071509","071513","P"," ",17.9,100,"04","04","013","013"
"340","0401307160004013071600","071600","071600"," "," ",100,100,"04","04","013","013"
"341","0401307170004013071700","071700","071700"," ","P",100,99.5,"04","04","013","013"
"342","0401307180204013071700","071802","071700","P","P",0.5,0.5,"04","04","013","013"
"343","0401307180104013071801","071801","071801"," "," ",100,100,"04","04","013","013"
"344","0401307180204013071802","071802","071802","P"," ",99.5,100,"04","04","013","013"
"345","0401307190304013071903","071903","071903"," "," ",100,100,"04","04","013","013"
"346","0401307190404013071904","071904","071904"," "," ",100,100,"04","04","013","013"
"347","0401307190604013071906","071906","071906","P","P",100,99.8,"04","04","013","013"
"348","0401307190804013071906","071908","071906","P","P",0.1,0.2,"04","04","013","013"
"349","0401307191104013071906","071911","071906","P","P",0,0,"04","04","013","013"
"350","0401307190604013071908","071906","071908","P","P",0,0,"04","04","013","013"
"351","0401307190804013071908","071908","071908","P","P",99.9,100,"04","04","013","013"
"352","0401307190904013071909","071909","071909"," "," ",100,100,"04","04","013","013"
"353","0401307191004013071910","071910","071910"," "," ",100,100,"04","04","013","013"
"354","0401307191104013071911","071911","071911","P"," ",100,100,"04","04","013","013"
"355","0401308200204013082002","082002","082002","P"," ",99.9,100,"04","04","013","013"
"356","0401308200304013082007","082003","082007","P"," ",44.8,100,"04","04","013","013"
"357","0401308200304013082008","082003","082008","P"," ",55.2,100,"04","04","013","013"
"358","0401308200404013082009","082004","082009","P"," ",52.3,100,"04","04","013","013"
"359","0401308200404013082010","082004","082010","P"," ",47.7,100,"04","04","013","013"
"360","0401308200604013082011","082006","082011","P","P",68.1,99.4,"04","04","013","013"
"361","0401308210004013082011","082100","082011","P","P",0.9,0.6,"04","04","013","013"
"362","0401308200504013082012","082005","082012","P"," ",26.8,100,"04","04","013","013"
"363","0401308200504013082013","082005","082013","P"," ",73.2,100,"04","04","013","013"
"364","0401308200604013082014","082006","082014","P"," ",31.8,100,"04","04","013","013"
"365","0401308200604013082015","082006","082015","P"," ",0.1,100,"04","04","013","013"
"366","0401308210004013082100","082100","082100","P"," ",99.1,100,"04","04","013","013"
"367","0401308220104013082201","082201","082201"," "," ",100,100,"04","04","013","013"
"368","0401308220204013082202","082202","082202"," "," ",100,100,"04","04","013","013"
"369","0401309230404013092304","092304","092304","P"," ",70.6,100,"04","04","013","013"
"370","0401309230504013092305","092305","092305"," "," ",100,100,"04","04","013","013"
"371","0401309230604013092306","092306","092306"," "," ",100,100,"04","04","013","013"
"372","0401309230704013092307","092307","092307"," "," ",100,100,"04","04","013","013"
"373","0401309230804013092308","092308","092308"," "," ",100,100,"04","04","013","013"
"374","0401309230904013092309","092309","092309"," "," ",100,100,"04","04","013","013"
"375","0401309230404013092310","092304","092310","P"," ",29.4,100,"04","04","013","013"
"376","0401309240004013092400","092400","092400"," "," ",100,100,"04","04","013","013"
"377","0401309250004013092500","092500","092500"," "," ",100,100,"04","04","013","013"
"378","0401309260004013092600","092600","092600"," "," ",100,100,"04","04","013","013"
"379","0401309270304013092703","092703","092703"," "," ",100,100,"04","04","013","013"
"380","0401309270404013092704","092704","092704","P"," ",1.2,100,"04","04","013","013"
"381","0401309270504013092705","092705","092705","P"," ",32.2,100,"04","04","013","013"
"382","0401308200204013092706","082002","092706","P","P",0.1,0.1,"04","04","013","013"
"383","0401308200604013092706","082006","092706","P","P",0,0,"04","04","013","013"
"384","0401309270604013092706","092706","092706","P","P",59.1,99.9,"04","04","013","013"
"385","0401309270704013092707","092707","092707"," "," ",100,100,"04","04","013","013"
"386","0401309270804013092708","092708","092708"," "," ",100,100,"04","04","013","013"
"387","0401309270904013092709","092709","092709"," "," ",100,100,"04","04","013","013"
"388","0401309270604013092710","092706","092710","P"," ",40.9,100,"04","04","013","013"
"389","0401309270404013092711","092704","092711","P"," ",20.6,100,"04","04","013","013"
"390","0401309270404013092712","092704","092712","P"," ",35,100,"04","04","013","013"
"391","0401309270404013092713","092704","092713","P"," ",43.2,100,"04","04","013","013"
"392","0401309270504013092714","092705","092714","P"," ",67.8,100,"04","04","013","013"
"393","0401309280004013092800","092800","092800"," "," ",100,100,"04","04","013","013"
"394","0401309290004013092900","092900","092900"," "," ",100,100,"04","04","013","013"
"395","0401309300004013093000","093000","093000"," "," ",100,100,"04","04","013","013"
"396","0401309310104013093101","093101","093101","P"," ",52.7,100,"04","04","013","013"
"397","0401309310204013093102","093102","093102"," "," ",100,100,"04","04","013","013"
"398","0401309310104013093104","093101","093104","P"," ",47.3,100,"04","04","013","013"
"399","0401310320504013103205","103205","103205"," "," ",100,100,"04","04","013","013"
"400","0401310320604013103206","103206","103206"," "," ",100,100,"04","04","013","013"
"401","0401310320704013103207","103207","103207"," "," ",100,100,"04","04","013","013"
"402","0401310320804013103208","103208","103208"," "," ",100,100,"04","04","013","013"
"403","0401310320904013103209","103209","103209","P"," ",100,100,"04","04","013","013"
"404","0401310321004013103210","103210","103210"," "," ",100,100,"04","04","013","013"
"405","0401310321104013103211","103211","103211"," "," ",100,100,"04","04","013","013"
"406","0401310321204013103212","103212","103212"," "," ",100,100,"04","04","013","013"
"407","0401310321404013103214","103214","103214"," ","P",100,99.5,"04","04","013","013"
"408","0401310321804013103214","103218","103214","P","P",0.3,0.5,"04","04","013","013"
"409","0401310321504013103215","103215","103215"," "," ",100,100,"04","04","013","013"
"410","0401310321604013103216","103216","103216"," "," ",100,100,"04","04","013","013"
"411","0401310321704013103217","103217","103217"," "," ",100,100,"04","04","013","013"
"412","0401310321804013103218","103218","103218","P"," ",99.7,100,"04","04","013","013"
"413","0401310330204013103302","103302","103302"," "," ",100,100,"04","04","013","013"
"414","0401310330304013103303","103303","103303"," "," ",100,100,"04","04","013","013"
"415","0401310330404013103304","103304","103304","P"," ",38.3,100,"04","04","013","013"
"416","0401310330404013103305","103304","103305","P"," ",29.1,100,"04","04","013","013"
"417","0401310330404013103306","103304","103306","P"," ",32.4,100,"04","04","013","013"
"418","0401310340004013103400","103400","103400"," "," ",100,100,"04","04","013","013"
"419","0401310330404013103501","103304","103501","P","P",0.1,0.4,"04","04","013","013"
"420","0401310350104013103501","103501","103501","P","P",97.8,99.6,"04","04","013","013"
"421","0401310350204013103501","103502","103501","P","P",0,0,"04","04","013","013"
"422","0401310350104013103502","103501","103502","P","P",2.2,1.1,"04","04","013","013"
"423","0401310350204013103502","103502","103502","P","P",100,98.9,"04","04","013","013"
"424","0401310360404013103604","103604","103604","P"," ",43.7,100,"04","04","013","013"
"425","0401310360404013103605","103604","103605","P","P",1,1.4,"04","04","013","013"
"426","0401310360504013103605","103605","103605"," ","P",100,98.6,"04","04","013","013"
"427","0401310360604013103606","103606","103606"," "," ",100,100,"04","04","013","013"
"428","0401310360704013103607","103607","103607","P"," ",50.7,100,"04","04","013","013"
"429","0401310360804013103608","103608","103608"," "," ",100,100,"04","04","013","013"
"430","0401310360904013103609","103609","103609"," "," ",100,100,"04","04","013","013"
"431","0401310360704013103611","103607","103611","P"," ",49.3,100,"04","04","013","013"
"432","0401310360404013103612","103604","103612","P"," ",55.3,100,"04","04","013","013"
"433","0401310380004013103614","103800","103614","P"," ",37.5,100,"04","04","013","013"
"434","0401310380004013103615","103800","103615","P"," ",60.9,100,"04","04","013","013"
"435","0401310370004013103700","103700","103700"," "," ",100,100,"04","04","013","013"
"436","0401310390004013103900","103900","103900"," "," ",100,100,"04","04","013","013"
"437","0401310400004013104000","104000","104000"," "," ",100,100,"04","04","013","013"
"438","0401310410004013104100","104100","104100"," "," ",100,100,"04","04","013","013"
"439","0401310420204013104202","104202","104202"," "," ",100,100,"04","04","013","013"
"440","0401310420304013104203","104203","104203"," "," ",100,100,"04","04","013","013"
"441","0401310420404013104204","104204","104204"," "," ",100,100,"04","04","013","013"
"442","0401310420504013104205","104205","104205"," "," ",100,100,"04","04","013","013"
"443","0401310420604013104206","104206","104206"," "," ",100,100,"04","04","013","013"
"444","0401310420704013104207","104207","104207"," "," ",100,100,"04","04","013","013"
"445","0401310421204013104212","104212","104212"," "," ",100,100,"04","04","013","013"
"446","0401310421404013104214","104214","104214"," "," ",100,100,"04","04","013","013"
"447","0401310421504013104215","104215","104215"," "," ",100,100,"04","04","013","013"
"448","0401310421604013104216","104216","104216"," "," ",100,100,"04","04","013","013"
"449","0401310421704013104217","104217","104217"," "," ",100,100,"04","04","013","013"
"450","0401310421804013104218","104218","104218"," "," ",100,100,"04","04","013","013"
"451","0401310421904013104219","104219","104219"," "," ",100,100,"04","04","013","013"
"452","0401310422104013104221","104221","104221","P"," ",73.4,100,"04","04","013","013"
"453","0401310422204013104222","104222","104222"," "," ",100,100,"04","04","013","013"
"454","0401310422304013104223","104223","104223","P"," ",100,100,"04","04","013","013"
"455","0401310422304013104224","104223","104224","P","P",0,0,"04","04","013","013"
"456","0401310422404013104224","104224","104224"," ","P",100,100,"04","04","013","013"
"457","0401310422504013104225","104225","104225"," "," ",100,100,"04","04","013","013"
"458","0401310422604013104226","104226","104226"," "," ",100,100,"04","04","013","013"
"459","0401310422104013104227","104221","104227","P"," ",26.6,100,"04","04","013","013"
"460","0401310430004013104300","104300","104300"," "," ",100,100,"04","04","013","013"
"461","0401310440004013104400","104400","104400"," "," ",100,100,"04","04","013","013"
"462","0401310450004013104501","104500","104501","P"," ",45.2,100,"04","04","013","013"
"463","0401310450004013104502","104500","104502","P"," ",54.8,100,"04","04","013","013"
