"","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"77",4,5,1400,4005001400,5642,3763,"P",4226413193,4220838853,4,5,2300,4005002300,6674,4325,"P",12530403178,12521072048,210409,210409,0,0,0,0,0,0,0,1,0.03,0.02
"78",4,5,1500,4005001500,3186,7519,"W",6951309945,6919176995,4,5,1500,4005001500,3186,7519,"W",6951309945,6919176995,6951309945,6919176995,100,100,100,100,3186,100,100,7519,100,100
"79",4,5,1600,4005001600,3150,2539,"W",119752403,119643744,4,5,1600,4005001600,3150,2539,"W",119752403,119643744,119752403,119643744,100,100,100,100,3150,100,100,2539,100,100
"80",4,5,1700,4005001700,3417,1758,"W",250763852,249869447,4,5,1700,4005001700,3417,1758,"W",250763852,249869447,250763852,249869447,100,100,100,100,3417,100,100,1758,100,100
"81",4,5,1800,4005001800,815,575,"W",530740570,530699587,4,5,2200,4005002200,6457,4337,"P",4756943354,4751328031,530740570,530699587,100,100,11.16,11.17,815,100,12.62,575,100,13.26
"82",4,5,1900,4005001900,6668,4316,"W",10184012440,10178452348,4,5,2300,4005002300,6674,4325,"P",12530403178,12521072048,10184012440,10178452348,100,100,81.27,81.29,6668,100,99.91,4316,100,99.79
"83",4,5,2000,4005002000,2037,1190,"W",7258710406,7229377820,4,5,2000,4005002000,2037,1190,"W",7258710406,7229377820,7258710406,7229377820,100,100,100,100,2037,100,100,1190,100,100
"84",4,5,2100,4005002100,7247,2787,"P",64241063,59590939,4,5,2100,4005002100,7247,2787,"W",64222894,59572770,64222894,59572770,99.97,99.97,100,100,7247,100,100,2787,100,100
"85",4,5,2100,4005002100,7247,2787,"P",64241063,59590939,4,5,942201,4005942201,4073,1239,"P",2383909229,2383446097,18169,18169,0.03,0.03,0,0,0,0,0,0,0,0
"86",4,5,940400,4005940400,6,8,"P",2346219035,2342447997,4,5,2300,4005002300,6674,4325,"P",12530403178,12521072048,2346178648,2342407610,100,100,18.72,18.71,6,100,0.09,8,100,0.18
"87",4,5,940400,4005940400,6,8,"P",2346219035,2342447997,4,15,940400,4015940400,1288,398,"P",1770143490,1765797234,40387,40387,0,0,0,0,0,0,0,0,0,0
"88",4,5,941100,4005941100,85,56,"W",2000576744,2000211815,4,5,945100,4005945100,3679,1372,"P",5866089835,5863728506,2000576744,2000211815,100,100,34.1,34.11,85,100,2.31,56,100,4.08
"89",4,5,941200,4005941200,981,292,"W",250353355,250239097,4,5,944900,4005944900,4631,1379,"P",256678729,256564471,250353355,250239097,100,100,97.54,97.53,981,100,21.18,292,100,21.17
"90",4,5,942200,4005942200,7886,2430,"P",5292779994,5275677548,4,5,942201,4005942201,4073,1239,"P",2383909229,2383446097,2383891060,2383427928,45.04,45.18,100,100,4073,51.65,100,1239,50.99,100
"91",4,5,942200,4005942200,7886,2430,"P",5292779994,5275677548,4,5,942202,4005942202,3813,1191,"W",2908888934,2892249620,2908888934,2892249620,54.96,54.82,100,100,3813,48.35,100,1191,49.01,100
"92",4,5,944500,4005944500,7774,2734,"P",7825935267,7815910552,4,5,944900,4005944900,4631,1379,"P",256678729,256564471,1530,1530,0,0,0,0,0,0,0,0,0,0
"93",4,5,944500,4005944500,7774,2734,"P",7825935267,7815910552,4,5,945000,4005945000,4180,1418,"W",3960420646,3952392331,3960420646,3952392331,50.61,50.57,100,100,4180,53.77,100,1418,51.87,100
"94",4,5,944500,4005944500,7774,2734,"P",7825935267,7815910552,4,5,945100,4005945100,3679,1372,"P",5866089835,5863728506,3865513091,3863516691,49.39,49.43,65.9,65.89,3594,46.23,97.69,1316,48.13,95.92
"95",4,5,944600,4005944600,7751,2258,"P",18455740,18455740,4,5,944900,4005944900,4631,1379,"P",256678729,256564471,6323844,6323844,34.26,34.26,2.46,2.46,3650,47.09,78.82,1087,48.14,78.83
"96",4,5,944600,4005944600,7751,2258,"P",18455740,18455740,4,5,945200,4005945200,4101,1171,"W",12131896,12131896,12131896,12131896,65.74,65.74,100,100,4101,52.91,100,1171,51.86,100
"97",4,7,100,4007000100,2949,3898,"P",460259984,460059951,4,7,100,4007000100,2949,3898,"W",460250080,460050047,460250080,460050047,100,100,100,100,2949,100,100,3898,100,100
"98",4,7,100,4007000100,2949,3898,"P",460259984,460059951,4,7,200,4007000200,2227,2991,"P",543384321,543337856,9904,9904,0,0,0,0,0,0,0,0,0,0
"99",4,7,200,4007000200,2227,2991,"W",543374417,543327952,4,7,200,4007000200,2227,2991,"P",543384321,543337856,543374417,543327952,100,100,100,100,2227,100,100,2991,100,100
"100",4,7,300,4007000300,8721,4929,"P",690045886,689491514,4,7,301,4007000301,5810,3150,"W",8944652,8930186,8944652,8930186,1.3,1.3,100,100,5810,66.62,100,3150,63.91,100
"101",4,7,300,4007000300,8721,4929,"P",690045886,689491514,4,7,302,4007000302,2911,1779,"P",681079887,680561689,681079526,680561328,98.7,98.7,100,100,2911,33.38,100,1779,36.09,100
"102",4,7,300,4007000300,8721,4929,"P",690045886,689491514,4,25,1500,4025001500,6550,3443,"P",2622116653,2617132317,21708,0,0,0,0,0,0,0,0,0,0,0
"103",4,7,400,4007000400,4481,3158,"W",88034825,88031859,4,7,400,4007000400,4481,3158,"W",88034825,88031859,88034825,88031859,100,100,100,100,4481,100,100,3158,100,100
"104",4,7,500,4007000500,5429,3073,"P",284219175,284176561,4,7,500,4007000500,5429,3073,"W",284218939,284176325,284218939,284176325,100,100,100,100,5429,100,100,3073,100,100
"105",4,7,500,4007000500,5429,3073,"P",284219175,284176561,4,7,600,4007000600,1640,1358,"P",1313357388,1312862262,236,236,0,0,0,0,0,0,0,0,0,0
