04013092708 447100004013092708 4471000 447 2754AZMaricopa
04013092709 3947100004013092709 39471000 3947 2574AZMaricopa
04013092706P 10720040904013092710 43891000 4389 2578AZMaricopa
04013092704P 10326020604013092711 21321000 2132 2574AZMaricopa
04013092704P 10326035004013092712 36161000 3616 2552AZMaricopa
04013092704P 10326043204013092713 44581000 4458 2620AZMaricopa
04013092705P 7666067804013092714 51951000 5195 2614AZMaricopa
04013092800 11269100004013092800 112691000 11269 2530AZMaricopa
04013092900 3464100004013092900 34641000 3464 2660AZMaricopa
04013093000 9614100004013093000 96141000 9614 2558AZMaricopa
04013093101P 8217052704013093101 43321000 4332 1316AZMaricopa
04013093102 9821100004013093102 98211000 9821 2540AZMaricopa
04013093101P 8217047304013093104 38851000 3885 3923AZMaricopa
04013103205 2903100004013103205 29031000 2903 2775AZMaricopa
04013103206 2761100004013103206 27611000 2761 2479AZMaricopa
04013103207 2649100004013103207 26491000 2649 2415AZMaricopa
04013103208 3563100004013103208 35631000 3563 2733AZMaricopa
04013103209P 6194100004013103209 61931000 6193 6567AZMaricopa
04013103210 6493100004013103210 64931000 6493 2052AZMaricopa
04013103211 4877100004013103211 48771000 4877 2650AZMaricopa
04013103212 4942100004013103212 49421000 4942 2614AZMaricopa
04013103214 4417100004013103214P 44390995 4417 2490AZMaricopa
04013103218P 6335000304013103214P 44390005 22 8AZMaricopa
04013103215 3177100004013103215 31771000 3177 2611AZMaricopa
04013103216 5532100004013103216 55321000 5532 2661AZMaricopa
04013103217 6818100004013103217 68181000 6818 2543AZMaricopa
04013103218P 6335099704013103218 63131000 6313 4888AZMaricopa
04013103302 6993100004013103302 69931000 6993 2462AZMaricopa
04013103303 3679100004013103303 36791000 3679 2579AZMaricopa
04013103304P 12095038304013103304 46371000 4637 934AZMaricopa
04013103304P 12095029104013103305 35241000 3524 830AZMaricopa
04013103304P 12095032404013103306 39201000 3920 787AZMaricopa
04013103400 5193100004013103400 51931000 5193 2833AZMaricopa
04013103304P 12095000104013103501P 32690004 14 1AZMaricopa
04013103501P 3327097804013103501P 32690996 3255 2068AZMaricopa
04013103502P 6226000004013103501P 32690000 0 1AZMaricopa
04013103501P 3327002204013103502P 62980011 72 78AZMaricopa
04013103502P 6226100004013103502P 62980989 6226 4349AZMaricopa
04013103604P 8818043704013103604 38531000 3853 3052AZMaricopa
04013103604P 8818001004013103605P 64960014 89 76AZMaricopa
04013103605 6407100004013103605P 64960986 6407 6036AZMaricopa
04013103606 4045100004013103606 40451000 4045 2368AZMaricopa
04013103607P 9602050704013103607 48701000 4870 2540AZMaricopa
04013103608 2648100004013103608 26481000 2648 2460AZMaricopa
04013103609 5422100004013103609 54221000 5422 2460AZMaricopa
04013103607P 9602049304013103611 47321000 4732 5301AZMaricopa
04013103604P 8818055304013103612 48761000 4876 1972AZMaricopa
04013103800P 8825037504013103614 33061000 3306 2133AZMaricopa
04013103800P 8825060904013103615 53731000 5373 6996AZMaricopa
04013103700 7665100004013103700 76651000 7665 7291AZMaricopa
04013103900 6050100004013103900 60501000 6050 2491AZMaricopa
04013104000 6134100004013104000 61341000 6134 2592AZMaricopa
04013104100 6678100004013104100 66781000 6678 2588AZMaricopa
04013104202 5360100004013104202 53601000 5360 2569AZMaricopa
04013104203 6433100004013104203 64331000 6433 2558AZMaricopa
04013104204 3506100004013104204 35061000 3506 1491AZMaricopa
04013104205 5009100004013104205 50091000 5009 3466AZMaricopa
04013104206 4289100004013104206 42891000 4289 1673AZMaricopa
04013104207 4130100004013104207 41301000 4130 2733AZMaricopa
04013104212 6446100004013104212 64461000 6446 2529AZMaricopa
04013104214 2377100004013104214 23771000 2377 2465AZMaricopa
04013104215 4678100004013104215 46781000 4678 2358AZMaricopa
04013104216 5204100004013104216 52041000 5204 2514AZMaricopa
04013104217 5457100004013104217 54571000 5457 2586AZMaricopa
04013104218 4096100004013104218 40961000 4096 2567AZMaricopa
04013104219 3147100004013104219 31471000 3147 2540AZMaricopa
04013104221P 8445073404013104221 62001000 6200 2527AZMaricopa
04013104222 5937100004013104222 59371000 5937 2490AZMaricopa
04013104223P 1903100004013104223 19031000 1903 2498AZMaricopa
04013104223P 1903000004013104224P 64370000 0 5AZMaricopa
04013104224 6437100004013104224P 64371000 6437 2576AZMaricopa
