"","X","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"238",382,4,13,61100,4013061100,3118,2400,"P",9731060,9730942,4,13,61100,4013061100,3436,2576,"P",10104212,10104094,9363284,9363166,96.22,96.22,92.67,92.67,3118,100,90.75,2400,100,93.17
"241",385,4,13,61300,4013061300,1784,646,"W",3659593,3659593,4,13,61300,4013061300,1930,726,"P",3729925,3729925,3659593,3659593,100,100,98.11,98.11,1784,100,92.44,646,100,88.98
"242",386,4,13,61400,4013061400,7477,2552,"P",2999139,2996213,4,13,61300,4013061300,1930,726,"P",3729925,3729925,17761,17761,0.59,0.59,0.48,0.48,0,0,0,0,0,0
"247",391,4,13,71505,4013071505,5966,4208,"P",6281443,6262594,4,13,60802,4013060802,1975,737,"P",4106344,4013059,337279,336007,5.37,5.37,8.21,8.37,0,0,0,0,0,0
"249",393,4,13,71505,4013071505,5966,4208,"P",6281443,6262594,4,13,617400,4013617400,6813,4368,"P",6822711,6779537,17362,17362,0.28,0.28,0.25,0.26,2,0.03,0.03,1,0.02,0.02
"253",397,4,13,71508,4013071508,7695,3544,"P",5545461,5527935,4,13,71506,4013071506,4260,2876,"P",4204215,4182243,1004,1004,0.02,0.02,0.02,0.02,0,0,0,0,0,0
"261",405,4,13,71600,4013071600,3656,1956,"P",2650314,2634129,4,13,61042,4013061042,2120,1561,"P",2110369,2106065,9732,9732,0.37,0.37,0.46,0.46,0,0,0,0,0,0
"262",406,4,13,71600,4013071600,3656,1956,"P",2650314,2634129,4,13,71600,4013071600,3668,1959,"P",2645791,2629606,2640582,2624397,99.63,99.63,99.8,99.8,3656,100,99.67,1956,100,99.85
"263",407,4,13,71700,4013071700,5853,3630,"P",5989035,5980113,4,13,61043,4013061043,2452,799,"P",14051597,13990599,523927,523927,8.75,8.76,3.73,3.74,0,0,0,0,0,0
"297",441,4,13,82100,4013082100,6545,2168,"P",10214540,10214540,4,13,83000,4013083000,6545,2169,"P",12809617,12809617,10214518,10214518,100,100,79.74,79.74,6545,100,100,2168,100,99.95
"316",460,4,13,92310,4013092310,3285,1503,"P",2591819,2591819,4,13,92312,4013092312,5001,2772,"P",1832031,1832031,61,61,0,0,0,0,0,0,0,0,0,0
"321",465,4,13,92600,4013092600,3177,1246,"P",2513861,2513861,4,13,92500,4013092500,4935,2054,"P",2631640,2631640,70,70,0,0,0,0,0,0,0,0,0,0
"324",468,4,13,92600,4013092600,3177,1246,"P",2513861,2513861,4,13,93200,4013093200,3355,1534,"P",5193253,5193253,99,99,0,0,0,0,0,0,0,0,0,0
"327",471,4,13,92704,4013092704,70,31,"W",2601396,2601396,4,13,93200,4013093200,3355,1534,"P",5193253,5193253,2601396,2601396,100,100,50.09,50.09,70,100,2.09,31,100,2.02
"328",472,4,13,92705,4013092705,3702,1435,"W",2592455,2592455,4,13,92705,4013092705,3702,1435,"P",2592988,2592988,2592455,2592455,100,100,99.98,99.98,3702,100,100,1435,100,100
"329",473,4,13,92706,4013092706,11497,4681,"P",28864675,28856113,4,13,82002,4013082002,5807,2376,"P",2647170,2615397,38242,38242,0.13,0.13,1.44,1.46,12,0.1,0.21,4,0.09,0.17
"330",474,4,13,92706,4013092706,11497,4681,"P",28864675,28856113,4,13,82016,4013082016,2348,707,"P",5198523,5196668,5620,5620,0.02,0.02,0.11,0.11,0,0,0,0,0,0
"334",478,4,13,92707,4013092707,7586,3379,"P",5826144,5816804,4,13,61043,4013061043,2452,799,"P",14051597,13990599,788067,784741,13.53,13.49,5.61,5.61,0,0,0,0,0,0
"347",491,4,13,92900,4013092900,2866,1145,"P",2636616,2636616,4,13,92801,4013092801,4756,1718,"P",1256230,1256230,114,114,0,0,0.01,0.01,0,0,0,0,0,0
"355",499,4,13,93104,4013093104,4385,1830,"W",3914385,3914385,4,13,93104,4013093104,4385,1830,"P",3925974,3925974,3914385,3914385,100,100,99.7,99.7,4385,100,100,1830,100,100
"363",507,4,13,103209,4013103209,5353,2545,"P",6628912,6507997,4,13,216831,4013216831,2896,1386,"P",4729811,4724241,30712,30712,0.46,0.47,0.65,0.65,0,0,0,0,0,0
"378",522,4,13,103400,4013103400,4656,1842,"P",2728699,2723900,4,13,103302,4013103302,6246,2506,"P",2499629,2499629,5380,5380,0.2,0.2,0.22,0.22,0,0,0,0,0,0
"401",545,4,13,104205,4013104205,5156,2603,"P",3495511,3376808,4,13,104206,4013104206,3813,1474,"P",1636068,1625210,115,33,0,0,0.01,0,0,0,0,0,0,0
"402",546,4,13,104206,4013104206,3813,1474,"W",1635106,1624330,4,13,104206,4013104206,3813,1474,"P",1636068,1625210,1635106,1624330,100,100,99.94,99.95,3813,100,100,1474,100,100
"437",581,4,13,105103,4013105103,3017,1386,"W",9678040,9667991,4,13,105103,4013105103,3017,1386,"P",9851838,9841789,9678040,9667991,100,100,98.24,98.23,3017,100,100,1386,100,100
"438",582,4,13,105200,4013105200,5819,3019,"W",4058521,4048321,4,13,105200,4013105200,5819,3019,"P",4058551,4048351,4058521,4048321,100,100,100,100,5819,100,100,3019,100,100
"444",588,4,13,105601,4013105601,3791,1229,"P",1284365,1284365,4,13,104205,4013104205,5156,2603,"P",3496002,3377381,606,606,0.05,0.05,0.02,0.02,0,0,0,0,0,0
"479",623,4,13,107900,4013107900,3703,1993,"P",8101249,8096730,4,13,105002,4013105002,2574,1290,"P",7934904,7932435,154506,154506,1.91,1.91,1.95,1.95,2,0.05,0.08,1,0.05,0.08
"493",637,4,13,108801,4013108801,2365,1444,"W",825937,820873,4,13,117100,4013117100,2600,1444,"P",1604757,1594695,825937,820873,100,100,51.47,51.48,2365,100,90.96,1444,100,100
"503",647,4,13,109300,4013109300,4670,1153,"P",2569561,2569561,4,13,93104,4013093104,4385,1830,"P",3925974,3925974,5392,5392,0.21,0.21,0.14,0.14,0,0,0,0,0,0
"509",653,4,13,109603,4013109603,4450,1247,"P",1331812,1331812,4,13,109601,4013109601,4723,1411,"P",1231149,1231149,251,251,0.02,0.02,0.02,0.02,0,0,0,0,0,0
"524",668,4,13,110300,4013110300,7106,2861,"P",2545785,2532649,4,13,116900,4013116900,2387,655,"P",3191286,3171279,611973,608089,24.04,24.01,19.18,19.17,1428,20.1,59.82,391,13.67,59.69
"537",681,4,13,111100,4013111100,4376,2058,"P",3209483,3164578,4,13,111000,4013111000,4745,2428,"P",2624346,2624346,340,340,0.01,0.01,0.01,0.01,0,0,0,0,0,0
"555",699,4,13,112000,4013112000,1652,797,"P",2603017,2603017,4,13,116900,4013116900,2387,655,"P",3191286,3171279,179,179,0.01,0.01,0.01,0.01,0,0,0,0,0,0
"557",701,4,13,112100,4013112100,3838,1035,"P",2590619,2590619,4,13,116900,4013116900,2387,655,"P",3191286,3171279,98,98,0,0,0,0,0,0,0,0,0,0
"568",712,4,13,112506,4013112506,31447,10902,"P",68346643,68273967,4,13,109702,4013109702,5053,1308,"P",1405623,1405623,40,40,0,0,0,0,0,0,0,0,0,0
"570",714,4,13,112506,4013112506,31447,10902,"P",68346643,68273967,4,13,112510,4013112510,4162,1214,"P",10290012,10290012,10289990,10289990,15.06,15.07,100,100,4162,13.23,100,1214,11.14,100
"580",724,4,13,112800,4013112800,1003,372,"W",2623542,2623542,4,13,116800,4013116800,2655,1169,"P",5226380,5226380,2623542,2623542,100,100,50.2,50.2,1003,100,37.78,372,100,31.82
"591",735,4,13,113500,4013113500,6968,2271,"P",1905723,1901625,4,13,113502,4013113502,2638,802,"P",638472,638472,621809,621809,32.63,32.7,97.39,97.39,2552,36.62,96.74,776,34.17,96.76
